Cgate Voltage,Cgate Int. Voltage,Cgate Current,Fgate Intg Charge,Fgate Int. Voltage,Fgate Current,Source Voltage,Source Int. Voltage,Source Current,Drain Voltage,Drain Int. Voltage,Drain Current,Substrate Voltage,Substrate Int. Voltage,Substrate Current,,,Id_1V,Vcg_0-6V
2.80E+00,2.80E+00,0.00E+00,0.00E+00,1.60E+00,1.14E-15,0.00E+00,0.00E+00,-1.05E-06,1.00E+00,1.00E+00,1.06E-06,0.00E+00,0.00E+00,-4.62E-09,,,,
2.85E+00,2.85E+00,0.00E+00,0.00E+00,1.62E+00,1.31E-15,0.00E+00,0.00E+00,-1.06E-06,1.00E+00,1.00E+00,1.07E-06,0.00E+00,0.00E+00,-4.73E-09,,,,
2.90E+00,2.90E+00,0.00E+00,0.00E+00,1.64E+00,1.50E-15,0.00E+00,0.00E+00,-1.06E-06,1.00E+00,1.00E+00,1.08E-06,0.00E+00,0.00E+00,-4.84E-09,,,,
2.95E+00,2.95E+00,0.00E+00,0.00E+00,1.67E+00,1.70E-15,0.00E+00,0.00E+00,-1.07E-06,1.00E+00,1.00E+00,1.09E-06,0.00E+00,0.00E+00,-4.96E-09,,,,
3.00E+00,3.00E+00,0.00E+00,0.00E+00,1.69E+00,1.93E-15,0.00E+00,0.00E+00,-1.08E-06,1.00E+00,1.00E+00,1.10E-06,0.00E+00,0.00E+00,-5.07E-09,,,,
3.05E+00,3.05E+00,0.00E+00,0.00E+00,1.72E+00,2.17E-15,0.00E+00,0.00E+00,-1.09E-06,1.00E+00,1.00E+00,1.11E-06,0.00E+00,0.00E+00,-5.19E-09,,,,
3.10E+00,3.10E+00,0.00E+00,0.00E+00,1.74E+00,2.43E-15,0.00E+00,0.00E+00,-1.10E-06,1.00E+00,1.00E+00,1.12E-06,0.00E+00,0.00E+00,-5.31E-09,,,,
3.13E+00,3.13E+00,0.00E+00,0.00E+00,1.75E+00,2.57E-15,0.00E+00,0.00E+00,-1.10E-06,1.00E+00,1.00E+00,1.12E-06,0.00E+00,0.00E+00,-5.37E-09,,,,
3.15E+00,3.15E+00,0.00E+00,0.00E+00,1.77E+00,2.72E-15,0.00E+00,0.00E+00,-1.11E-06,1.00E+00,1.00E+00,1.12E-06,0.00E+00,0.00E+00,-5.43E-09,,,,
3.20E+00,3.20E+00,0.00E+00,0.00E+00,1.79E+00,3.02E-15,0.00E+00,0.00E+00,-1.12E-06,1.00E+00,1.00E+00,1.13E-06,0.00E+00,0.00E+00,-5.56E-09,,,,
3.25E+00,3.25E+00,0.00E+00,0.00E+00,1.81E+00,3.35E-15,0.00E+00,0.00E+00,-1.13E-06,1.00E+00,1.00E+00,1.14E-06,0.00E+00,0.00E+00,-5.68E-09,,,,
3.30E+00,3.30E+00,0.00E+00,0.00E+00,1.84E+00,3.71E-15,0.00E+00,0.00E+00,-1.13E-06,1.00E+00,1.00E+00,1.15E-06,0.00E+00,0.00E+00,-5.81E-09,,,,
3.35E+00,3.35E+00,0.00E+00,0.00E+00,1.86E+00,4.08E-15,0.00E+00,0.00E+00,-1.14E-06,1.00E+00,1.00E+00,1.16E-06,0.00E+00,0.00E+00,-5.93E-09,,,,
3.40E+00,3.40E+00,0.00E+00,0.00E+00,1.88E+00,4.48E-15,0.00E+00,0.00E+00,-1.15E-06,1.00E+00,1.00E+00,1.16E-06,0.00E+00,0.00E+00,-6.06E-09,,,,
3.45E+00,3.45E+00,0.00E+00,0.00E+00,1.91E+00,4.91E-15,0.00E+00,0.00E+00,-1.16E-06,1.00E+00,1.00E+00,1.17E-06,0.00E+00,0.00E+00,-6.19E-09,,,,
3.50E+00,3.50E+00,0.00E+00,0.00E+00,1.93E+00,5.36E-15,0.00E+00,0.00E+00,-1.16E-06,1.00E+00,1.00E+00,1.18E-06,0.00E+00,0.00E+00,-6.32E-09,,,,
3.55E+00,3.55E+00,0.00E+00,0.00E+00,1.96E+00,5.83E-15,0.00E+00,0.00E+00,-1.17E-06,1.00E+00,1.00E+00,1.19E-06,0.00E+00,0.00E+00,-6.45E-09,,,,
3.60E+00,3.60E+00,0.00E+00,0.00E+00,1.98E+00,6.34E-15,0.00E+00,0.00E+00,-1.18E-06,1.00E+00,1.00E+00,1.19E-06,0.00E+00,0.00E+00,-6.58E-09,,,,
3.65E+00,3.65E+00,0.00E+00,0.00E+00,2.00E+00,6.87E-15,0.00E+00,0.00E+00,-1.18E-06,1.00E+00,1.00E+00,1.20E-06,0.00E+00,0.00E+00,-6.71E-09,,,,
3.70E+00,3.70E+00,0.00E+00,0.00E+00,2.03E+00,7.43E-15,0.00E+00,0.00E+00,-1.19E-06,1.00E+00,1.00E+00,1.21E-06,0.00E+00,0.00E+00,-6.84E-09,,,,
3.75E+00,3.75E+00,0.00E+00,0.00E+00,2.05E+00,8.02E-15,0.00E+00,0.00E+00,-1.20E-06,1.00E+00,1.00E+00,1.21E-06,0.00E+00,0.00E+00,-6.97E-09,,,,
3.80E+00,3.80E+00,0.00E+00,0.00E+00,2.07E+00,8.63E-15,0.00E+00,0.00E+00,-1.20E-06,1.00E+00,1.00E+00,1.22E-06,0.00E+00,0.00E+00,-7.10E-09,,,,
3.85E+00,3.85E+00,0.00E+00,0.00E+00,2.10E+00,9.28E-15,0.00E+00,0.00E+00,-1.21E-06,1.00E+00,1.00E+00,1.23E-06,0.00E+00,0.00E+00,-7.24E-09,,,,
3.90E+00,3.90E+00,0.00E+00,0.00E+00,2.12E+00,9.96E-15,0.00E+00,0.00E+00,-1.22E-06,1.00E+00,1.00E+00,1.23E-06,0.00E+00,0.00E+00,-7.37E-09,,,,
3.95E+00,3.95E+00,0.00E+00,0.00E+00,2.14E+00,1.07E-14,0.00E+00,0.00E+00,-1.22E-06,1.00E+00,1.00E+00,1.24E-06,0.00E+00,0.00E+00,-7.50E-09,,,,
4.00E+00,4.00E+00,0.00E+00,0.00E+00,2.17E+00,1.14E-14,0.00E+00,0.00E+00,-1.23E-06,1.00E+00,1.00E+00,1.25E-06,0.00E+00,0.00E+00,-7.63E-09,,,,
4.05E+00,4.05E+00,0.00E+00,0.00E+00,2.19E+00,1.22E-14,0.00E+00,0.00E+00,-1.24E-06,1.00E+00,1.00E+00,1.25E-06,0.00E+00,0.00E+00,-7.77E-09,,,,
4.10E+00,4.10E+00,0.00E+00,0.00E+00,2.21E+00,1.30E-14,0.00E+00,0.00E+00,-1.24E-06,1.00E+00,1.00E+00,1.26E-06,0.00E+00,0.00E+00,-7.90E-09,,,,
4.15E+00,4.15E+00,0.00E+00,0.00E+00,2.24E+00,1.38E-14,0.00E+00,0.00E+00,-1.25E-06,1.00E+00,1.00E+00,1.26E-06,0.00E+00,0.00E+00,-8.03E-09,,,,
4.20E+00,4.20E+00,0.00E+00,0.00E+00,2.26E+00,1.47E-14,0.00E+00,0.00E+00,-1.25E-06,1.00E+00,1.00E+00,1.27E-06,0.00E+00,0.00E+00,-8.17E-09,,,,
4.25E+00,4.25E+00,0.00E+00,0.00E+00,2.28E+00,1.56E-14,0.00E+00,0.00E+00,-1.26E-06,1.00E+00,1.00E+00,1.28E-06,0.00E+00,0.00E+00,-8.30E-09,,,,
4.30E+00,4.30E+00,0.00E+00,0.00E+00,2.30E+00,1.65E-14,0.00E+00,0.00E+00,-1.26E-06,1.00E+00,1.00E+00,1.28E-06,0.00E+00,0.00E+00,-8.43E-09,,,,
4.35E+00,4.35E+00,0.00E+00,0.00E+00,2.33E+00,1.75E-14,0.00E+00,0.00E+00,-1.27E-06,1.00E+00,1.00E+00,1.29E-06,0.00E+00,0.00E+00,-8.56E-09,,,,
4.40E+00,4.40E+00,0.00E+00,0.00E+00,2.35E+00,1.85E-14,0.00E+00,0.00E+00,-1.27E-06,1.00E+00,1.00E+00,1.29E-06,0.00E+00,0.00E+00,-8.70E-09,,,,
4.45E+00,4.45E+00,0.00E+00,0.00E+00,2.37E+00,1.95E-14,0.00E+00,0.00E+00,-1.28E-06,1.00E+00,1.00E+00,1.30E-06,0.00E+00,0.00E+00,-8.83E-09,,,,
4.50E+00,4.50E+00,0.00E+00,0.00E+00,2.40E+00,2.06E-14,0.00E+00,0.00E+00,-1.28E-06,1.00E+00,1.00E+00,1.30E-06,0.00E+00,0.00E+00,-8.96E-09,,,,
4.55E+00,4.55E+00,0.00E+00,0.00E+00,2.42E+00,2.17E-14,0.00E+00,0.00E+00,-1.29E-06,1.00E+00,1.00E+00,1.31E-06,0.00E+00,0.00E+00,-9.09E-09,,,,
4.60E+00,4.60E+00,0.00E+00,0.00E+00,2.44E+00,2.28E-14,0.00E+00,0.00E+00,-1.30E-06,1.00E+00,1.00E+00,1.31E-06,0.00E+00,0.00E+00,-9.22E-09,,,,
4.65E+00,4.65E+00,0.00E+00,0.00E+00,2.47E+00,2.40E-14,0.00E+00,0.00E+00,-1.30E-06,1.00E+00,1.00E+00,1.32E-06,0.00E+00,0.00E+00,-9.36E-09,,,,
4.70E+00,4.70E+00,0.00E+00,0.00E+00,2.49E+00,2.52E-14,0.00E+00,0.00E+00,-1.31E-06,1.00E+00,1.00E+00,1.32E-06,0.00E+00,0.00E+00,-9.49E-09,,,,
4.75E+00,4.75E+00,0.00E+00,0.00E+00,2.51E+00,2.64E-14,0.00E+00,0.00E+00,-1.31E-06,1.00E+00,1.00E+00,1.33E-06,0.00E+00,0.00E+00,-9.62E-09,,,,
4.80E+00,4.80E+00,0.00E+00,0.00E+00,2.53E+00,2.77E-14,0.00E+00,0.00E+00,-1.31E-06,1.00E+00,1.00E+00,1.33E-06,0.00E+00,0.00E+00,-9.75E-09,,,,
4.85E+00,4.85E+00,0.00E+00,0.00E+00,2.56E+00,2.90E-14,0.00E+00,0.00E+00,-1.32E-06,1.00E+00,1.00E+00,1.34E-06,0.00E+00,0.00E+00,-9.88E-09,,,,
4.90E+00,4.90E+00,0.00E+00,0.00E+00,2.58E+00,3.03E-14,0.00E+00,0.00E+00,-1.32E-06,1.00E+00,1.00E+00,1.34E-06,0.00E+00,0.00E+00,-1.00E-08,,,,
4.95E+00,4.95E+00,0.00E+00,0.00E+00,2.60E+00,3.17E-14,0.00E+00,0.00E+00,-1.33E-06,1.00E+00,1.00E+00,1.35E-06,0.00E+00,0.00E+00,-1.01E-08,,,,
5.00E+00,5.00E+00,0.00E+00,0.00E+00,2.63E+00,3.31E-14,0.00E+00,0.00E+00,-1.33E-06,1.00E+00,1.00E+00,1.35E-06,0.00E+00,0.00E+00,-1.03E-08,,,,
5.05E+00,5.05E+00,0.00E+00,0.00E+00,2.65E+00,3.45E-14,0.00E+00,0.00E+00,-1.34E-06,1.00E+00,1.00E+00,1.36E-06,0.00E+00,0.00E+00,-1.04E-08,,,,
5.10E+00,5.10E+00,0.00E+00,0.00E+00,2.67E+00,3.60E-14,0.00E+00,0.00E+00,-1.34E-06,1.00E+00,1.00E+00,1.36E-06,0.00E+00,0.00E+00,-1.05E-08,,,,
5.15E+00,5.15E+00,0.00E+00,0.00E+00,2.69E+00,3.75E-14,0.00E+00,0.00E+00,-1.35E-06,1.00E+00,1.00E+00,1.37E-06,0.00E+00,0.00E+00,-1.07E-08,,,,
5.20E+00,5.20E+00,0.00E+00,0.00E+00,2.72E+00,3.90E-14,0.00E+00,0.00E+00,-1.35E-06,1.00E+00,1.00E+00,1.37E-06,0.00E+00,0.00E+00,-1.08E-08,,,,
5.25E+00,5.25E+00,0.00E+00,0.00E+00,2.74E+00,4.06E-14,0.00E+00,0.00E+00,-1.35E-06,1.00E+00,1.00E+00,1.38E-06,0.00E+00,0.00E+00,-1.09E-08,,,,
5.30E+00,5.30E+00,0.00E+00,0.00E+00,2.76E+00,4.22E-14,0.00E+00,0.00E+00,-1.36E-06,1.00E+00,1.00E+00,1.38E-06,0.00E+00,0.00E+00,-1.10E-08,,,,
5.35E+00,5.35E+00,0.00E+00,0.00E+00,2.79E+00,4.38E-14,0.00E+00,0.00E+00,-1.36E-06,1.00E+00,1.00E+00,1.38E-06,0.00E+00,0.00E+00,-1.12E-08,,,,
5.40E+00,5.40E+00,0.00E+00,0.00E+00,2.81E+00,4.55E-14,0.00E+00,0.00E+00,-1.37E-06,1.00E+00,1.00E+00,1.39E-06,0.00E+00,0.00E+00,-1.13E-08,,,,
5.45E+00,5.45E+00,0.00E+00,0.00E+00,2.83E+00,4.72E-14,0.00E+00,0.00E+00,-1.37E-06,1.00E+00,1.00E+00,1.39E-06,0.00E+00,0.00E+00,-1.14E-08,,,,
5.50E+00,5.50E+00,0.00E+00,0.00E+00,2.85E+00,4.89E-14,0.00E+00,0.00E+00,-1.38E-06,1.00E+00,1.00E+00,1.40E-06,0.00E+00,0.00E+00,-1.15E-08,,,,
5.55E+00,5.55E+00,0.00E+00,0.00E+00,2.88E+00,5.07E-14,0.00E+00,0.00E+00,-1.38E-06,1.00E+00,1.00E+00,1.40E-06,0.00E+00,0.00E+00,-1.17E-08,,,,
5.60E+00,5.60E+00,0.00E+00,0.00E+00,2.90E+00,5.25E-14,0.00E+00,0.00E+00,-1.38E-06,1.00E+00,1.00E+00,1.41E-06,0.00E+00,0.00E+00,-1.18E-08,,,,
5.65E+00,5.65E+00,0.00E+00,0.00E+00,2.92E+00,5.43E-14,0.00E+00,0.00E+00,-1.39E-06,1.00E+00,1.00E+00,1.41E-06,0.00E+00,0.00E+00,-1.19E-08,,,,
5.70E+00,5.70E+00,0.00E+00,0.00E+00,2.94E+00,5.61E-14,0.00E+00,0.00E+00,-1.39E-06,1.00E+00,1.00E+00,1.41E-06,0.00E+00,0.00E+00,-1.20E-08,,,,
5.75E+00,5.75E+00,0.00E+00,0.00E+00,2.97E+00,5.80E-14,0.00E+00,0.00E+00,-1.39E-06,1.00E+00,1.00E+00,1.42E-06,0.00E+00,0.00E+00,-1.22E-08,,,,
5.80E+00,5.80E+00,0.00E+00,0.00E+00,2.99E+00,5.99E-14,0.00E+00,0.00E+00,-1.40E-06,1.00E+00,1.00E+00,1.42E-06,0.00E+00,0.00E+00,-1.23E-08,,,,
5.85E+00,5.85E+00,0.00E+00,0.00E+00,3.01E+00,6.18E-14,0.00E+00,0.00E+00,-1.40E-06,1.00E+00,1.00E+00,1.42E-06,0.00E+00,0.00E+00,-1.24E-08,,,,
5.90E+00,5.90E+00,0.00E+00,0.00E+00,3.03E+00,6.38E-14,0.00E+00,0.00E+00,-1.41E-06,1.00E+00,1.00E+00,1.43E-06,0.00E+00,0.00E+00,-1.25E-08,,,,
5.95E+00,5.95E+00,0.00E+00,0.00E+00,3.06E+00,6.58E-14,0.00E+00,0.00E+00,-1.41E-06,1.00E+00,1.00E+00,1.43E-06,0.00E+00,0.00E+00,-1.27E-08,,,,
6.00E+00,6.00E+00,0.00E+00,0.00E+00,3.08E+00,6.78E-14,0.00E+00,0.00E+00,-1.41E-06,1.00E+00,1.00E+00,1.44E-06,0.00E+00,0.00E+00,-1.28E-08,,,,
