Cgate Voltage,Cgate Int. Voltage,Cgate Current,Fgate Intg Charge,Fgate Int. Voltage,Fgate Current,Source Voltage,Source Int. Voltage,Source Current,Drain Voltage,Drain Int. Voltage,Drain Current,Substrate Voltage,Substrate Int. Voltage,Substrate Current,,Id_1V,Vcg_0-6V,,Cgate Voltage,Drain Current
0.00E+00,0.00E+00,0.00E+00,-3.41E-16,-6.87E+00,-3.53E-17,0.00E+00,0.00E+00,1.08E-17,1.00E+00,1.00E+00,3.08E-17,0.00E+00,0.00E+00,-6.22E-18,,7.38E-09,0.00E+00,,0.00E+00,3.08E-17
0.00E+00,0.00E+00,0.00E+00,-3.41E-16,-6.87E+00,-3.53E-17,0.00E+00,0.00E+00,1.08E-17,1.00E+00,1.00E+00,3.42E-17,0.00E+00,0.00E+00,-9.67E-18,,1.22E-08,5.00E-02,,0.00E+00,3.42E-17
1.00E-01,1.00E-01,0.00E+00,-3.41E-16,-6.82E+00,-2.76E-17,0.00E+00,0.00E+00,8.13E-18,1.00E+00,1.00E+00,2.72E-17,0.00E+00,0.00E+00,-7.74E-18,,1.88E-08,1.00E-01,,1.00E-01,2.72E-17
2.00E-01,2.00E-01,0.00E+00,-3.41E-16,-6.78E+00,-2.14E-17,0.00E+00,0.00E+00,6.11E-18,1.00E+00,1.00E+00,2.40E-17,0.00E+00,0.00E+00,-8.70E-18,,2.73E-08,1.50E-01,,2.00E-01,2.40E-17
3.00E-01,3.00E-01,0.00E+00,-3.41E-16,-6.73E+00,-1.66E-17,0.00E+00,0.00E+00,4.49E-18,1.00E+00,1.00E+00,2.05E-17,0.00E+00,0.00E+00,-8.36E-18,,3.82E-08,2.00E-01,,3.00E-01,2.05E-17
4.00E-01,4.00E-01,0.00E+00,-3.41E-16,-6.69E+00,-1.28E-17,0.00E+00,0.00E+00,3.23E-18,1.00E+00,1.00E+00,1.77E-17,0.00E+00,0.00E+00,-8.09E-18,,5.15E-08,2.50E-01,,4.00E-01,1.77E-17
5.00E-01,5.00E-01,0.00E+00,-3.41E-16,-6.65E+00,-9.86E-18,0.00E+00,0.00E+00,2.23E-18,1.00E+00,1.00E+00,1.55E-17,0.00E+00,0.00E+00,-7.89E-18,,6.76E-08,3.00E-01,,5.00E-01,1.55E-17
6.00E-01,6.00E-01,0.00E+00,-3.41E-16,-6.60E+00,-7.55E-18,0.00E+00,0.00E+00,1.46E-18,1.00E+00,1.00E+00,1.38E-17,0.00E+00,0.00E+00,-7.72E-18,,8.40E-08,3.50E-01,,6.00E-01,1.38E-17
7.00E-01,7.00E-01,0.00E+00,-3.41E-16,-6.56E+00,-5.76E-18,0.00E+00,0.00E+00,8.54E-19,1.00E+00,1.00E+00,1.25E-17,0.00E+00,0.00E+00,-7.58E-18,,1.06E-07,4.00E-01,,7.00E-01,1.25E-17
8.00E-01,8.00E-01,0.00E+00,-3.41E-16,-6.51E+00,-4.37E-18,0.00E+00,0.00E+00,3.89E-19,1.00E+00,1.00E+00,1.15E-17,0.00E+00,0.00E+00,-7.51E-18,,1.30E-07,4.50E-01,,8.00E-01,1.15E-17
9.00E-01,9.00E-01,0.00E+00,-3.41E-16,-6.47E+00,-3.31E-18,0.00E+00,0.00E+00,2.56E-20,1.00E+00,1.00E+00,1.07E-17,0.00E+00,0.00E+00,-7.45E-18,,1.46E-07,5.00E-01,,9.00E-01,1.07E-17
1.00E+00,1.00E+00,0.00E+00,-3.41E-16,-6.43E+00,-2.49E-18,0.00E+00,0.00E+00,-2.52E-19,1.00E+00,1.00E+00,1.01E-17,0.00E+00,0.00E+00,-7.40E-18,,1.72E-07,5.50E-01,,1.00E+00,1.01E-17
1.10E+00,1.10E+00,0.00E+00,-3.41E-16,-6.38E+00,-1.86E-18,0.00E+00,0.00E+00,-4.68E-19,1.00E+00,1.00E+00,9.69E-18,0.00E+00,0.00E+00,-7.37E-18,,1.99E-07,6.00E-01,,1.10E+00,9.69E-18
1.20E+00,1.20E+00,0.00E+00,-3.41E-16,-6.34E+00,-1.39E-18,0.00E+00,0.00E+00,-6.32E-19,1.00E+00,1.00E+00,9.36E-18,0.00E+00,0.00E+00,-7.34E-18,,2.25E-07,6.50E-01,,1.20E+00,9.36E-18
1.30E+00,1.30E+00,0.00E+00,-3.41E-16,-6.29E+00,-1.03E-18,0.00E+00,0.00E+00,-7.58E-19,1.00E+00,1.00E+00,9.11E-18,0.00E+00,0.00E+00,-7.32E-18,,2.50E-07,7.00E-01,,1.30E+00,9.11E-18
1.40E+00,1.40E+00,0.00E+00,-3.41E-16,-6.25E+00,-7.61E-19,0.00E+00,0.00E+00,-8.58E-19,1.00E+00,1.00E+00,8.92E-18,0.00E+00,0.00E+00,-7.25E-18,,2.75E-07,7.50E-01,,1.40E+00,8.92E-18
1.50E+00,1.50E+00,0.00E+00,-3.41E-16,-6.20E+00,-5.59E-19,0.00E+00,0.00E+00,-9.33E-19,1.00E+00,1.00E+00,8.79E-18,0.00E+00,0.00E+00,-7.30E-18,,2.98E-07,8.00E-01,,1.50E+00,8.79E-18
1.60E+00,1.60E+00,0.00E+00,-3.41E-16,-6.16E+00,-4.08E-19,0.00E+00,0.00E+00,-9.91E-19,1.00E+00,1.00E+00,8.69E-18,0.00E+00,0.00E+00,-7.29E-18,,3.22E-07,8.50E-01,,1.60E+00,8.69E-18
1.70E+00,1.70E+00,0.00E+00,-3.41E-16,-6.12E+00,-2.97E-19,0.00E+00,0.00E+00,-1.03E-18,1.00E+00,1.00E+00,8.63E-18,0.00E+00,0.00E+00,-7.30E-18,,3.46E-07,9.00E-01,,1.70E+00,8.63E-18
1.80E+00,1.80E+00,0.00E+00,-3.41E-16,-6.07E+00,-2.14E-19,0.00E+00,0.00E+00,-1.07E-18,1.00E+00,1.00E+00,8.58E-18,0.00E+00,0.00E+00,-7.30E-18,,3.71E-07,9.50E-01,,1.80E+00,8.58E-18
1.90E+00,1.90E+00,0.00E+00,-3.41E-16,-6.03E+00,-1.54E-19,0.00E+00,0.00E+00,-1.10E-18,1.00E+00,1.00E+00,8.56E-18,0.00E+00,0.00E+00,-7.30E-18,,3.95E-07,1.00E+00,,1.90E+00,8.56E-18
2.00E+00,2.00E+00,0.00E+00,-3.41E-16,-5.98E+00,-1.10E-19,0.00E+00,0.00E+00,-1.13E-18,1.00E+00,1.00E+00,8.54E-18,0.00E+00,0.00E+00,-7.31E-18,,4.20E-07,1.05E+00,,2.00E+00,8.54E-18
2.10E+00,2.10E+00,0.00E+00,-3.41E-16,-5.94E+00,-7.82E-20,0.00E+00,0.00E+00,-1.15E-18,1.00E+00,1.00E+00,8.54E-18,0.00E+00,0.00E+00,-7.31E-18,,4.45E-07,1.10E+00,,2.10E+00,8.54E-18
2.20E+00,2.20E+00,0.00E+00,-3.41E-16,-5.89E+00,-5.52E-20,0.00E+00,0.00E+00,-1.16E-18,1.00E+00,1.00E+00,9.32E-12,0.00E+00,0.00E+00,-7.32E-18,,4.69E-07,1.15E+00,,2.20E+00,9.32E-12
2.30E+00,2.30E+00,0.00E+00,-3.41E-16,-5.85E+00,-3.87E-20,0.00E+00,0.00E+00,-1.18E-18,1.00E+00,1.00E+00,2.75E-11,0.00E+00,0.00E+00,-7.33E-18,,4.92E-07,1.20E+00,,2.30E+00,2.75E-11
2.40E+00,2.40E+00,0.00E+00,-3.41E-16,-5.81E+00,-2.70E-20,0.00E+00,0.00E+00,-1.19E-18,1.00E+00,1.00E+00,8.18E-11,0.00E+00,0.00E+00,-7.34E-18,,5.16E-07,1.25E+00,,2.40E+00,8.18E-11
2.50E+00,2.50E+00,0.00E+00,-3.41E-16,-5.76E+00,-1.87E-20,0.00E+00,0.00E+00,-1.21E-18,1.00E+00,1.00E+00,2.45E-10,0.00E+00,0.00E+00,-7.35E-18,,5.39E-07,1.30E+00,,2.50E+00,2.45E-10
2.60E+00,2.60E+00,0.00E+00,-3.41E-16,-5.72E+00,-1.28E-20,0.00E+00,0.00E+00,-1.22E-18,1.00E+00,1.00E+00,7.38E-10,0.00E+00,0.00E+00,-7.35E-18,,5.62E-07,1.35E+00,,2.60E+00,7.38E-10
2.70E+00,2.70E+00,0.00E+00,-3.41E-16,-5.67E+00,-8.76E-21,0.00E+00,0.00E+00,-1.23E-18,1.00E+00,1.00E+00,2.23E-09,0.00E+00,0.00E+00,-7.36E-18,,5.85E-07,1.40E+00,,2.70E+00,2.23E-09
2.80E+00,2.80E+00,0.00E+00,-3.41E-16,-5.63E+00,-5.94E-21,0.00E+00,0.00E+00,-1.25E-18,1.00E+00,1.00E+00,6.62E-09,0.00E+00,0.00E+00,-7.37E-18,,6.07E-07,1.45E+00,,2.80E+00,6.62E-09
2.90E+00,2.90E+00,0.00E+00,-3.41E-16,-5.58E+00,-4.00E-21,0.00E+00,0.00E+00,-1.26E-18,1.00E+00,1.00E+00,1.90E-08,0.00E+00,0.00E+00,-7.37E-18,,6.29E-07,1.50E+00,,2.90E+00,1.90E-08
3.00E+00,3.00E+00,0.00E+00,-3.41E-16,-5.54E+00,-2.67E-21,0.00E+00,0.00E+00,-1.27E-18,1.00E+00,1.00E+00,5.01E-08,0.00E+00,0.00E+00,-7.38E-18,,6.50E-07,1.55E+00,,3.00E+00,5.01E-08
3.10E+00,3.10E+00,0.00E+00,-3.41E-16,-5.50E+00,-1.77E-21,0.00E+00,0.00E+00,-1.28E-18,1.00E+00,1.00E+00,1.13E-07,0.00E+00,0.00E+00,-7.40E-18,,6.71E-07,1.60E+00,,3.10E+00,1.13E-07
3.20E+00,3.20E+00,0.00E+00,-3.41E-16,-5.45E+00,-1.16E-21,0.00E+00,0.00E+00,-1.30E-18,1.00E+00,1.00E+00,2.09E-07,0.00E+00,0.00E+00,-7.40E-18,,6.92E-07,1.65E+00,,3.20E+00,2.09E-07
3.30E+00,3.30E+00,0.00E+00,-3.41E-16,-5.41E+00,-7.56E-22,0.00E+00,0.00E+00,-1.31E-18,1.00E+00,1.00E+00,3.14E-07,0.00E+00,0.00E+00,-7.35E-18,,7.12E-07,1.70E+00,,3.30E+00,3.14E-07
3.40E+00,3.40E+00,0.00E+00,-3.41E-16,-5.36E+00,-4.88E-22,0.00E+00,0.00E+00,-9.66E-19,1.00E+00,1.00E+00,4.04E-07,0.00E+00,0.00E+00,2.91E-18,,7.32E-07,1.75E+00,,3.40E+00,4.04E-07
3.50E+00,3.50E+00,0.00E+00,-3.41E-16,-5.32E+00,-3.12E-22,0.00E+00,0.00E+00,-1.34E-18,1.00E+00,1.00E+00,4.75E-07,0.00E+00,0.00E+00,-7.43E-18,,7.51E-07,1.80E+00,,3.50E+00,4.75E-07
3.60E+00,3.60E+00,0.00E+00,-3.41E-16,-5.27E+00,-1.98E-22,0.00E+00,0.00E+00,-1.36E-18,1.00E+00,1.00E+00,5.36E-07,0.00E+00,0.00E+00,-7.44E-18,,7.69E-07,1.85E+00,,3.60E+00,5.36E-07
3.70E+00,3.70E+00,0.00E+00,-3.41E-16,-5.23E+00,-1.24E-22,0.00E+00,0.00E+00,-1.37E-18,1.00E+00,1.00E+00,5.94E-07,0.00E+00,0.00E+00,-7.45E-18,,7.87E-07,1.90E+00,,3.70E+00,5.94E-07
3.80E+00,3.80E+00,0.00E+00,-3.41E-16,-5.19E+00,-7.73E-23,0.00E+00,0.00E+00,-1.39E-18,1.00E+00,1.00E+00,6.51E-07,0.00E+00,0.00E+00,-7.28E-18,,8.05E-07,1.95E+00,,3.80E+00,6.51E-07
3.90E+00,3.90E+00,0.00E+00,-3.41E-16,-5.14E+00,-4.76E-23,0.00E+00,0.00E+00,-1.41E-18,1.00E+00,1.00E+00,7.10E-07,0.00E+00,0.00E+00,-7.48E-18,,8.22E-07,2.00E+00,,3.90E+00,7.10E-07
4.00E+00,4.00E+00,0.00E+00,-3.41E-16,-5.10E+00,-2.90E-23,0.00E+00,0.00E+00,-1.42E-18,1.00E+00,1.00E+00,7.67E-07,0.00E+00,0.00E+00,-7.27E-18,,,,,4.00E+00,7.67E-07
4.10E+00,4.10E+00,0.00E+00,-3.41E-16,-5.05E+00,-1.75E-23,0.00E+00,0.00E+00,-1.44E-18,1.00E+00,1.00E+00,8.23E-07,0.00E+00,0.00E+00,-7.48E-18,,,,,4.10E+00,8.23E-07
4.20E+00,4.20E+00,0.00E+00,-3.41E-16,-5.01E+00,-1.04E-23,0.00E+00,0.00E+00,-1.46E-18,1.00E+00,1.00E+00,8.78E-07,0.00E+00,0.00E+00,-7.49E-18,,,,,4.20E+00,8.78E-07
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
