Cgate Voltage,Drain Current,,Cgate Voltage,Drain Current,,Cgate Voltage,Drain Current,,Cgate Voltage,Drain Current,,Cgate Voltage,Drain Current
0.00E+00,1.86E-08,,0.00E+00,1.86E-08,,0.00E+00,1.86E-08,,0.00E+00,1.86E-08,,0.00E+00,1.86E-08
5.00E-02,2.31E-08,,5.00E-02,2.31E-08,,5.00E-02,2.31E-08,,5.00E-02,2.31E-08,,5.00E-02,2.31E-08
1.00E-01,2.92E-08,,1.00E-01,2.92E-08,,1.00E-01,2.92E-08,,1.00E-01,2.92E-08,,1.00E-01,2.92E-08
1.50E-01,3.74E-08,,1.50E-01,3.74E-08,,1.50E-01,3.74E-08,,1.50E-01,3.74E-08,,1.50E-01,3.74E-08
2.00E-01,4.79E-08,,2.00E-01,4.79E-08,,2.00E-01,4.79E-08,,2.00E-01,4.79E-08,,2.00E-01,4.79E-08
2.50E-01,6.09E-08,,2.50E-01,6.09E-08,,2.50E-01,6.09E-08,,2.50E-01,6.09E-08,,2.50E-01,6.09E-08
3.00E-01,7.66E-08,,3.00E-01,7.66E-08,,3.00E-01,7.66E-08,,3.00E-01,7.66E-08,,3.00E-01,7.66E-08
3.50E-01,9.53E-08,,3.50E-01,9.53E-08,,3.50E-01,9.53E-08,,3.50E-01,9.53E-08,,3.50E-01,9.53E-08
4.00E-01,1.17E-07,,4.00E-01,1.17E-07,,4.00E-01,1.17E-07,,4.00E-01,1.17E-07,,4.00E-01,1.17E-07
4.50E-01,1.41E-07,,4.50E-01,1.41E-07,,4.50E-01,1.41E-07,,4.50E-01,1.41E-07,,4.50E-01,1.41E-07
5.00E-01,1.68E-07,,5.00E-01,1.68E-07,,5.00E-01,1.68E-07,,5.00E-01,1.68E-07,,5.00E-01,1.68E-07
5.50E-01,1.95E-07,,5.50E-01,1.95E-07,,5.50E-01,1.95E-07,,5.50E-01,1.95E-07,,5.50E-01,1.95E-07
6.00E-01,2.23E-07,,6.00E-01,2.23E-07,,6.00E-01,2.23E-07,,6.00E-01,2.23E-07,,6.00E-01,2.23E-07
6.50E-01,2.50E-07,,6.50E-01,2.50E-07,,6.50E-01,2.50E-07,,6.50E-01,2.50E-07,,6.50E-01,2.50E-07
7.00E-01,2.75E-07,,7.00E-01,2.75E-07,,7.00E-01,2.75E-07,,7.00E-01,2.75E-07,,7.00E-01,2.75E-07
7.50E-01,2.98E-07,,7.50E-01,2.98E-07,,7.50E-01,2.98E-07,,7.50E-01,2.98E-07,,7.50E-01,2.98E-07
8.00E-01,3.21E-07,,8.00E-01,3.21E-07,,8.00E-01,3.21E-07,,8.00E-01,3.21E-07,,8.00E-01,3.21E-07
8.50E-01,3.44E-07,,8.50E-01,3.44E-07,,8.50E-01,3.44E-07,,8.50E-01,3.44E-07,,8.50E-01,3.44E-07
9.00E-01,3.68E-07,,9.00E-01,3.68E-07,,9.00E-01,3.68E-07,,9.00E-01,3.68E-07,,9.00E-01,3.68E-07
9.50E-01,3.93E-07,,9.50E-01,3.93E-07,,9.50E-01,3.93E-07,,9.50E-01,3.93E-07,,9.50E-01,3.93E-07
1.00E+00,4.19E-07,,1.00E+00,4.19E-07,,1.00E+00,4.19E-07,,1.00E+00,4.19E-07,,1.00E+00,4.19E-07
1.05E+00,4.44E-07,,1.05E+00,4.44E-07,,1.05E+00,4.44E-07,,1.05E+00,4.44E-07,,1.05E+00,4.44E-07
1.10E+00,4.69E-07,,1.10E+00,4.69E-07,,1.10E+00,4.69E-07,,1.10E+00,4.69E-07,,1.10E+00,4.69E-07
1.15E+00,4.93E-07,,1.15E+00,4.93E-07,,1.15E+00,4.93E-07,,1.15E+00,4.93E-07,,1.15E+00,4.93E-07
1.18E+00,5.05E-07,,1.18E+00,5.05E-07,,1.18E+00,5.05E-07,,1.18E+00,5.05E-07,,1.18E+00,5.05E-07
1.20E+00,5.17E-07,,1.20E+00,5.17E-07,,1.20E+00,5.17E-07,,1.20E+00,5.17E-07,,1.20E+00,5.17E-07
1.25E+00,5.41E-07,,1.25E+00,5.41E-07,,1.25E+00,5.41E-07,,1.25E+00,5.41E-07,,1.25E+00,5.41E-07
1.30E+00,5.65E-07,,1.30E+00,5.65E-07,,1.30E+00,5.65E-07,,1.30E+00,5.65E-07,,1.30E+00,5.65E-07
1.35E+00,5.89E-07,,1.35E+00,5.89E-07,,1.35E+00,5.89E-07,,1.35E+00,5.89E-07,,1.35E+00,5.89E-07
1.40E+00,6.12E-07,,1.40E+00,6.12E-07,,1.40E+00,6.12E-07,,1.40E+00,6.12E-07,,1.40E+00,6.12E-07
1.45E+00,6.36E-07,,1.45E+00,6.36E-07,,1.45E+00,6.36E-07,,1.45E+00,6.36E-07,,1.45E+00,6.36E-07
1.50E+00,6.59E-07,,1.50E+00,6.59E-07,,1.50E+00,6.59E-07,,1.50E+00,6.59E-07,,1.50E+00,6.59E-07
1.55E+00,6.81E-07,,1.55E+00,6.81E-07,,1.55E+00,6.81E-07,,1.55E+00,6.81E-07,,1.55E+00,6.81E-07
1.60E+00,7.04E-07,,1.60E+00,7.04E-07,,1.60E+00,7.04E-07,,1.60E+00,7.04E-07,,1.60E+00,7.04E-07
1.65E+00,7.25E-07,,1.65E+00,7.25E-07,,1.65E+00,7.25E-07,,1.65E+00,7.25E-07,,1.65E+00,7.25E-07
1.70E+00,7.46E-07,,1.70E+00,7.46E-07,,1.70E+00,7.46E-07,,1.70E+00,7.46E-07,,1.70E+00,7.46E-07
1.75E+00,7.66E-07,,1.75E+00,7.66E-07,,1.75E+00,7.66E-07,,1.75E+00,7.66E-07,,1.75E+00,7.66E-07
1.80E+00,7.86E-07,,1.80E+00,7.86E-07,,1.80E+00,7.86E-07,,1.80E+00,7.86E-07,,1.80E+00,7.86E-07
1.85E+00,8.05E-07,,1.85E+00,8.05E-07,,1.85E+00,8.05E-07,,1.85E+00,8.05E-07,,1.85E+00,8.05E-07
1.90E+00,8.23E-07,,1.90E+00,8.23E-07,,1.90E+00,8.23E-07,,1.90E+00,8.23E-07,,1.90E+00,8.23E-07
1.95E+00,8.40E-07,,1.95E+00,8.40E-07,,1.95E+00,8.40E-07,,1.95E+00,8.40E-07,,1.95E+00,8.40E-07
2.00E+00,8.57E-07,,2.00E+00,8.57E-07,,2.00E+00,8.57E-07,,2.00E+00,8.57E-07,,2.00E+00,8.57E-07
